epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58641,0.95093,2.42769,1.21604,0.00372,1,0.99161,0.80738,0.59025,2.56886,0.95507,0.0005,0.0005,0.0005
2,6.61512,0.78798,1.35471,1.04224,0.9232,0.78639,0.94321,0.72517,0.71152,2.3537,1.05999,0.00101899,0.00101899,0.00101899
3,9.60723,0.7988,1.20985,1.05352,0.88472,0.789,0.90635,0.70093,0.77949,2.22784,1.108,0.00153695,0.00153695,0.00153695
4,12.5808,0.79822,1.05952,1.04135,0.73743,0.76121,0.82635,0.64494,0.76309,1.85028,1.03349,0.00199406,0.00199406,0.00199406
5,15.5448,0.80652,0.94248,1.03533,0.65594,0.51402,0.5939,0.40781,0.95781,2.46068,1.25343,0.00199208,0.00199208,0.00199208
6,18.5288,0.78698,0.8638,1.03507,0.50978,0.44708,0.41491,0.32438,1.04014,1.96147,1.22789,0.0019901,0.0019901,0.0019901
7,21.4831,0.74219,0.78235,1.01747,0.83689,0.86316,0.90533,0.70623,0.72993,1.39366,1.00342,0.00198812,0.00198812,0.00198812
8,24.4594,0.71694,0.7074,1.00902,0.94465,0.79762,0.93008,0.78054,0.64275,0.88636,0.96992,0.00198614,0.00198614,0.00198614
9,27.4083,0.70151,0.6736,1.00512,0.91758,0.4486,0.5196,0.41574,1.46612,1.69655,1.50419,0.00198416,0.00198416,0.00198416
10,30.3577,0.70896,0.64736,1.01204,0.85687,0.55952,0.6091,0.52654,0.89352,1.60914,1.14526,0.00198218,0.00198218,0.00198218
11,33.3176,0.64848,0.58132,0.96976,0.94777,0.848,0.88432,0.76119,0.6679,0.70568,0.99444,0.0019802,0.0019802,0.0019802
12,36.2785,0.65749,0.56316,0.97144,0.98883,1,0.995,0.85945,0.57279,0.5288,0.92126,0.00197822,0.00197822,0.00197822
13,39.2385,0.66854,0.54233,0.98969,0.98166,0.97196,0.99349,0.88305,0.50107,0.45162,0.87721,0.00197624,0.00197624,0.00197624
14,42.2081,0.63901,0.53816,0.97204,0.96644,1,0.98659,0.87765,0.49788,0.48958,0.88,0.00197426,0.00197426,0.00197426
15,45.1524,0.63101,0.50816,0.97117,0.92061,0.97544,0.98242,0.87496,0.51062,0.53867,0.89931,0.00197228,0.00197228,0.00197228
16,48.1079,0.63021,0.49394,0.96078,0.97004,1,0.99086,0.88331,0.47478,0.36509,0.86502,0.0019703,0.0019703,0.0019703
17,51.1041,0.64639,0.50271,0.97328,0.97916,1,0.99426,0.89193,0.4744,0.35191,0.86804,0.00196832,0.00196832,0.00196832
18,54.075,0.66619,0.48076,0.97831,0.97191,0.97025,0.98976,0.87288,0.51506,0.39131,0.87082,0.00196634,0.00196634,0.00196634
19,57.0189,0.61103,0.46951,0.95117,0.97022,1,0.98771,0.90872,0.42252,0.34649,0.84434,0.00196436,0.00196436,0.00196436
20,59.9849,0.60677,0.45066,0.95207,0.9737,1,0.98036,0.88054,0.45772,0.36019,0.85563,0.00196238,0.00196238,0.00196238
21,62.9288,0.60245,0.43628,0.95819,0.98055,0.99065,0.98623,0.88215,0.48115,0.33768,0.86483,0.0019604,0.0019604,0.0019604
22,65.8766,0.641,0.46091,0.98711,0.98775,1,0.99157,0.8815,0.49031,0.33282,0.86936,0.00195842,0.00195842,0.00195842
23,68.8114,0.62524,0.45631,0.97017,0.98634,0.96262,0.98339,0.86858,0.48723,0.39663,0.8769,0.00195644,0.00195644,0.00195644
24,71.7574,0.62529,0.42987,0.95805,0.98064,1,0.99107,0.90082,0.44365,0.32165,0.85541,0.00195446,0.00195446,0.00195446
25,74.7458,0.59194,0.41155,0.94581,0.98086,1,0.98864,0.89182,0.45169,0.32167,0.85412,0.00195248,0.00195248,0.00195248
26,77.6923,0.56712,0.40892,0.93354,0.98069,1,0.99166,0.90239,0.449,0.30461,0.84913,0.0019505,0.0019505,0.0019505
27,80.6337,0.56408,0.39669,0.93159,0.98086,1,0.98824,0.88109,0.50208,0.32132,0.86108,0.00194852,0.00194852,0.00194852
28,83.5887,0.60099,0.42612,0.96044,0.93815,0.98131,0.98185,0.87752,0.50776,0.4143,0.87646,0.00194654,0.00194654,0.00194654
29,86.5747,0.56987,0.40078,0.94536,0.98048,0.99065,0.98925,0.88707,0.48206,0.32785,0.85738,0.00194456,0.00194456,0.00194456
30,89.5273,0.60854,0.41381,0.96413,0.98436,1,0.99481,0.90106,0.45893,0.31008,0.85416,0.00194258,0.00194258,0.00194258
31,92.4549,0.58813,0.39911,0.94026,0.97984,1,0.99379,0.89784,0.47377,0.33236,0.86185,0.0019406,0.0019406,0.0019406
32,95.406,0.60395,0.40772,0.95016,0.9616,1,0.99085,0.89102,0.47138,0.3473,0.8597,0.00193862,0.00193862,0.00193862
33,98.3442,0.56229,0.38743,0.93423,0.98111,1,0.9912,0.88926,0.47452,0.32774,0.86149,0.00193664,0.00193664,0.00193664
34,101.291,0.55088,0.38697,0.9365,0.98163,1,0.98861,0.88181,0.49072,0.32995,0.87693,0.00193466,0.00193466,0.00193466
35,104.274,0.55978,0.39688,0.93344,0.9796,1,0.993,0.88208,0.50777,0.31287,0.86773,0.00193268,0.00193268,0.00193268
36,107.225,0.54608,0.38377,0.93416,0.98117,1,0.99259,0.89612,0.46944,0.29548,0.86268,0.0019307,0.0019307,0.0019307
37,110.159,0.5717,0.3841,0.92763,0.98106,1,0.99185,0.8741,0.5111,0.33766,0.87572,0.00192872,0.00192872,0.00192872
38,113.108,0.60181,0.40083,0.95526,0.98246,1,0.99269,0.90106,0.44972,0.30595,0.85607,0.00192674,0.00192674,0.00192674
39,116.175,0.54454,0.3839,0.93452,0.99062,0.98659,0.9936,0.89736,0.47242,0.3096,0.86193,0.00192476,0.00192476,0.00192476
40,119.163,0.53523,0.37543,0.92196,0.98038,1,0.9921,0.90947,0.42689,0.28608,0.84536,0.00192278,0.00192278,0.00192278
41,122.216,0.53446,0.3678,0.92588,0.98097,1,0.98972,0.91678,0.4217,0.28306,0.8459,0.0019208,0.0019208,0.0019208
42,125.174,0.55418,0.38627,0.93277,0.97918,1,0.98991,0.90531,0.4486,0.31464,0.8588,0.00191882,0.00191882,0.00191882
43,128.121,0.54607,0.37976,0.91826,0.97992,1,0.99123,0.89207,0.45478,0.30474,0.84949,0.00191684,0.00191684,0.00191684
44,131.155,0.53608,0.36388,0.92401,0.98047,1,0.98926,0.89904,0.46363,0.3167,0.86569,0.00191486,0.00191486,0.00191486
45,134.28,0.50421,0.35006,0.91804,0.9551,0.99391,0.98391,0.87188,0.56568,0.36846,0.90375,0.00191288,0.00191288,0.00191288
46,137.381,0.54516,0.36317,0.94306,0.97573,1,0.98879,0.90317,0.46573,0.29782,0.85302,0.0019109,0.0019109,0.0019109
