epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07765,4.47767,6.75257,4.22101,0,0,0,0,4.73684,6.2252,4.17092,0.00326241,0.00326241,0.00326241
2,11.5483,4.55127,6.30463,4.17772,0,0,0,0,4.74211,5.97361,4.18494,0.00658921,0.00658921,0.00658921
3,17.0629,3.60176,4.5424,3.6327,0.1015,0.08152,0.02617,0.00631,3.16726,3.48044,3.71183,0.00990942,0.00990942,0.00990942
4,22.4454,2.81926,3.25331,3.02664,0.14994,0.24457,0.06346,0.0176,3.19551,4.01661,5.01462,0.0099703,0.0099703,0.0099703
5,28.0558,2.37915,2.4891,2.58534,0.26522,0.21196,0.14138,0.05396,2.54297,44.9399,3.23538,0.0099604,0.0099604,0.0099604
6,33.4274,2.16456,1.96974,2.32803,0.6134,0.5163,0.59341,0.26877,1.81392,2.18639,2.34278,0.0099505,0.0099505,0.0099505
7,38.7892,2.00834,1.63417,2.15692,0.63207,0.55086,0.63826,0.29639,1.82809,1.66927,2.26208,0.0099406,0.0099406,0.0099406
8,44.2902,1.84432,1.44415,2.00244,0.70941,0.67391,0.76956,0.39742,1.79407,1.94793,2.19822,0.0099307,0.0099307,0.0099307
9,49.7606,1.718,1.35378,1.92454,0.7723,0.81107,0.86932,0.48636,1.54658,1.7647,2.02481,0.0099208,0.0099208,0.0099208
10,55.1415,1.62783,1.17233,1.81797,0.86543,0.90871,0.93137,0.53987,1.40081,1.68364,1.86695,0.0099109,0.0099109,0.0099109
11,60.4795,1.54512,1.08659,1.73646,0.89057,0.91848,0.92781,0.59953,1.31092,1.30209,1.70826,0.009901,0.009901,0.009901
12,65.8631,1.52273,1.07196,1.70363,0.89904,0.91304,0.95809,0.5866,1.22682,1.20956,1.68134,0.0098911,0.0098911,0.0098911
13,71.236,1.40594,0.97187,1.60482,0.91735,0.96517,0.96841,0.63678,1.22314,0.91285,1.6535,0.0098812,0.0098812,0.0098812
14,76.5849,1.39693,0.93376,1.57979,0.98334,0.9622,0.98103,0.66594,1.10851,0.87916,1.55794,0.0098713,0.0098713,0.0098713
15,82.0768,1.36266,0.86452,1.52848,0.96681,0.95652,0.98622,0.6726,1.185,0.89237,1.52677,0.0098614,0.0098614,0.0098614
16,87.4615,1.31403,0.85663,1.51468,0.93767,0.7358,0.82895,0.51916,1.4198,1.26705,1.82671,0.0098515,0.0098515,0.0098515
17,92.7917,1.26105,0.81498,1.45283,0.97768,0.93478,0.97821,0.65549,1.14235,0.78909,1.49401,0.0098416,0.0098416,0.0098416
18,98.2078,1.2658,0.80816,1.46986,0.99438,0.96129,0.99087,0.70146,1.02702,0.66486,1.425,0.0098317,0.0098317,0.0098317
